Academic Year,County Code,District Code,School Code,District Name,School Name,Charter School Number,Charter Funding Type,Low Grade,High Grade,Enrollment (K-12),Adjusted FRPM Count (K-12),Percent,LowHigh,Name2,Address,City,Zip,phone,Normalized Address,Latitude,Longitude,Altitude,Normalized Address,Latitude,Longitude,Altitude
2013-14,1,61259,6002018,Oakland Unified,Lincoln Elementary,,,K,5,746,647,0.867292225,K to 5,Lincoln Elementary,225 11th St.,Oakland,94607-4409,(510)_874-3372,"225 11th Street, Oakland, CA 94607, USA",37.7999365,-122.2671804,12.4810676574707,"225 11th Street, Oakland, CA 94607, USA",37.7999365,-122.2671804,12.4810676574707
2013-14,1,61259,126748,Oakland Unified,LPS Oakland R & D Campus,1449,Directly funded,9,12,303,281,0.927392739,9 to 12,LPS Oakland R & D Campus,"8601 MacArthur Blvd., Bldg. 100",Oakland,94605,(510)_633-0750,"8601 MacArthur Boulevard, Oakland, CA 94605, USA",37.7591739,-122.1637259,22.41740989685059,"8601 MacArthur Boulevard, Oakland, CA 94605, USA",37.7591739,-122.1637259,22.41740989685059
2013-14,1,61259,6066450,Oakland Unified,Madison Park Academy 6-12,,,6,12,514,462,0.898832685,6 to 12,Madison Park Academy 6-12,400 Capistrano Dr.,Oakland,94603-3520,(510)_636-2701,"400 Capistrano Drive, Oakland, CA 94603, USA",37.7275406,-122.1776362,7.992688655853271,"400 Capistrano Drive, Oakland, CA 94603, USA",37.7275406,-122.1776362,7.992688655853271
2013-14,1,61259,6002182,Oakland Unified,Madison Park Academy TK-5,,,K,5,247,231,0.935222672,K to 5,Madison Park Academy TK-5,470 El Paseo Dr.,Oakland,94603-3565,(510)_636-7919,"470 El Paseo Drive, Oakland, CA 94603, USA",37.727981,-122.176582,8.477325439453125,"470 El Paseo Drive, Oakland, CA 94603, USA",37.727981,-122.176582,8.477325439453125
2013-14,1,61259,6002042,Oakland Unified,Manzanita Community,,,K,5,350,302,0.862857143,K to 5,Manzanita Community,2409 East 27th St.,Oakland,94601-1303,(510)_535-2822,"2409 East 27th Street, Oakland, CA 94601, USA",37.7917497,-122.2248282,49.53087997436523,"2409 East 27th Street, Oakland, CA 94601, USA",37.7917497,-122.2248282,49.53087997436523
2013-14,1,61259,110247,Oakland Unified,Manzanita SEED,,,K,5,368,273,0.741847826,K to 5,Manzanita SEED,2409 East 27th St.,Oakland,94601-1303,(510)_535-2832,"2409 East 27th Street, Oakland, CA 94601, USA",37.7917497,-122.2248282,49.53087997436523,"2409 East 27th Street, Oakland, CA 94601, USA",37.7917497,-122.2248282,49.53087997436523
2013-14,1,61259,6002059,Oakland Unified,Markham Elementary,,,K,5,346,335,0.968208092,K to 5,Markham Elementary,7220 Krause Ave.,Oakland,94605-2380,(510)_639-3202,"7220 Krause Avenue, Oakland, CA 94605, USA",37.7653407,-122.1785765,12.91150760650635,"7220 Krause Avenue, Oakland, CA 94605, USA",37.7653407,-122.1785765,12.91150760650635
2013-14,1,61259,6072235,Oakland Unified,"Martin Luther King, Jr. Elementary",,,K,5,308,267,0.866883117,K to 5,"Martin Luther King, Jr. Elementary",960 Tenth St.,Oakland,94607-3106,(510)_874-3381,"960 10th Street, Oakland, CA 94607, USA",37.806313,-122.282771,8.883190155029297,"960 10th Street, Oakland, CA 94607, USA",37.806313,-122.282771,8.883190155029297
2013-14,1,61259,110189,Oakland Unified,McClymonds High,,,9,12,275,237,0.861818182,9 to 12,McClymonds High,2607 Myrtle St.,Oakland,94607-3415,(510)_879-3033,"2607 Myrtle Street, Oakland, CA 94607, USA",37.8182617,-122.2787944,6.899556159973145,"2607 Myrtle Street, Oakland, CA 94607, USA",37.8182617,-122.2787944,6.899556159973145
2013-14,1,61259,6118640,Oakland Unified,Melrose Leadership Academy,,,K,8,354,257,0.725988701,K to 8,Melrose Leadership Academy,4730 Fleming Ave.,Oakland,94619,(510)_535-3832,"4730 Fleming Avenue, Oakland, CA 94619, USA",37.7805159,-122.1977728,65.72547149658203,"4730 Fleming Avenue, Oakland, CA 94619, USA",37.7805159,-122.1977728,65.72547149658203
2013-14,1,61259,100701,Oakland Unified,MetWest High,,,9,12,141,105,0.744680851,9 to 12,MetWest High,1100 3rd Ave.,Oakland,94606-2302,(510)_451-5902,"1100 3rd Avenue, Oakland, CA 94606, USA",37.7955602,-122.2570204,8.84041690826416,"1100 3rd Avenue, Oakland, CA 94606, USA",37.7955602,-122.2570204,8.84041690826416
2013-14,1,61259,6002083,Oakland Unified,Montclair Elementary,,,K,5,548,66,0.120437956,K to 5,Montclair Elementary,1757 Mountain Blvd.,Oakland,94611-2259,(510)_339-6100,"1757 Mountain Boulevard, Oakland, CA 94611, USA",37.8309947,-122.2130084,185.7635040283203,"1757 Mountain Boulevard, Oakland, CA 94611, USA",37.8309947,-122.2130084,185.7635040283203
2013-14,1,61259,6057079,Oakland Unified,Montera Middle,,,6,8,945,484,0.512169312,6 to 8,Montera Middle,5555 Ascot Dr.,Oakland,94611-3001,(510)_531-6070,"5555 Ascot Drive, Oakland, CA 94611, USA",37.81965599999999,-122.2017352,212.1181030273438,"5555 Ascot Drive, Oakland, CA 94611, USA",37.81965599999999,-122.2017352,212.1181030273438
2013-14,1,61259,6001903,Oakland Unified,New Highland Academy,,,K,5,313,308,0.984025559,K to 5,New Highland Academy,8521 A St.,Oakland,94621-1619,(510)_729-7723,"8521 A Street, Oakland, CA 94621, USA",37.75163730000001,-122.1797196,8.021783828735352,"8521 A Street, Oakland, CA 94621, USA",37.75163730000001,-122.1797196,8.021783828735352
2013-14,1,61259,6117972,Oakland Unified,North Oakland Community Charter,302,Directly funded,K,8,223,47,0.210762332,K to 8,North Oakland Community Charter,1000 42nd St.,Oakland,94608-3621,(510)_655-0540,"1000 42nd Street, Oakland, CA 94608, USA",37.8328826,-122.2766295,17.67119407653809,"1000 42nd Street, Oakland, CA 94608, USA",37.8328826,-122.2766295,17.67119407653809
2013-14,1,61259,6111660,Oakland Unified,Oakland Charter Academy,14,Directly funded,6,8,380,336,0.884210526,6 to 8,Oakland Charter Academy,3001 International Blvd.,Oakland,94601-1404,(510)_532-6751,"3001 International Boulevard, Oakland, CA 94601, USA",37.7783918,-122.2281381,14.33290481567383,"3001 International Boulevard, Oakland, CA 94601, USA",37.7783918,-122.2281381,14.33290481567383
2013-14,1,61259,114868,Oakland Unified,Oakland Charter High,883,Directly funded,9,12,266,210,0.789473684,9 to 12,Oakland Charter High,345 12th St.,Oakland,94607,(510)_893-8700,"345 12th Street, Oakland, CA 94607, USA",37.8018011,-122.2694701,13.15417098999023,"345 12th Street, Oakland, CA 94607, USA",37.8018011,-122.2694701,13.15417098999023
2013-14,1,61259,106559,Oakland Unified,Oakland Community Day Middle,,,6,8,22,19,0.863636364,6 to 8,Oakland Community Day Middle,4917 Mountain Blvd.,Oakland,94619,(510)_531-6800,"4917 Mountain Boulevard, Oakland, CA 94619, USA",37.7870171,-122.1770773,85.53245544433594,"4917 Mountain Boulevard, Oakland, CA 94619, USA",37.7870171,-122.1770773,85.53245544433594
2013-14,1,61259,135905,Oakland Unified,Oakland High,,,9,12,1552,"1,344",0.865979381,9 to 12,Oakland High,1023 MacArthur Blvd.,Oakland,94610-3930,(510)_874-3676,"1023 MacArthur Boulevard, Oakland, CA 94610, USA",37.8044662,-122.2369001,47.58302688598633,"1023 MacArthur Boulevard, Oakland, CA 94610, USA",37.8044662,-122.2369001,47.58302688598633
2013-14,1,61259,115667,Oakland Unified,Oakland International High,,,9,12,353,286,0.8101983,9 to 12,Oakland International High,4521 Webster St.,Oakland,94609-2140,(510)_597-4287,"4521 Webster Street, Oakland, CA 94609, USA",37.83394,-122.2606771,34.66066741943359,"4521 Webster Street, Oakland, CA 94609, USA",37.83394,-122.2606771,34.66066741943359
2013-14,1,61259,130617,Oakland Unified,"Oakland Military Institute, College Preparatory Academy",349,Directly funded,6,12,719,512,0.712100139,6 to 12,"Oakland Military Institute, College Preparatory Academy",3877 Lusk St.,Oakland,94608-3822,(510)_594-3900,"3877 Lusk Street, Emeryville, CA 94608, USA",37.8294493,-122.2728579,19.62571144104004,"3877 Lusk Street, Emeryville, CA 94608, USA",37.8294493,-122.2728579,19.62571144104004
2013-14,1,61259,3030772,Oakland Unified,Oakland School for the Arts,340,Directly funded,6,12,676,96,0.142011834,6 to 12,Oakland School for the Arts,530 18th St.,Oakland,94612,(510)_873-8800,"530 18th Street, Oakland, CA 94612, USA",37.8081419,-122.2706475,6.955842018127441,"530 18th Street, Oakland, CA 94612, USA",37.8081419,-122.2706475,6.955842018127441
2013-14,1,61259,136051,Oakland Unified,Oakland Technical High,,,9,12,2092,"1,121",0.53585086,9 to 12,Oakland Technical High,4351 Broadway,Oakland,94611-4612,(510)_450-5400,"4351 Broadway, Oakland, CA 94611, USA",37.8323963,-122.2544467,34.83662796020508,"4351 Broadway, Oakland, CA 94611, USA",37.8323963,-122.2544467,34.83662796020508
2013-14,1,61259,100065,Oakland Unified,Oakland Unity High,510,Directly funded,9,12,292,227,0.77739726,9 to 12,Oakland Unity High,6038 Brann St.,Oakland,94605-1544,(510)_635-7170,"6038 Brann Street, Oakland, CA 94605, USA",37.7735522,-122.184786,25.42309379577637,"6038 Brann Street, Oakland, CA 94605, USA",37.7735522,-122.184786,25.42309379577637
2013-14,1,61259,6002091,Oakland Unified,Parker Elementary,,,K,5,214,204,0.953271028,K to 5,Parker Elementary,7929 Ney Ave.,Oakland,94605-3311,(510)_879-1440,"7929 Ney Avenue, Oakland, CA 94605, USA",37.7655642,-122.1657365,36.17827606201172,"7929 Ney Avenue, Oakland, CA 94605, USA",37.7655642,-122.1657365,36.17827606201172
2013-14,1,61259,6002109,Oakland Unified,Peralta Elementary,,,K,5,338,113,0.334319527,K to 5,Peralta Elementary,460 63rd St.,Oakland,94609,(510)_654-7365,"460 63rd Street, Oakland, CA 94609, USA",37.8496814,-122.2589283,52.38322830200195,"460 63rd Street, Oakland, CA 94609, USA",37.8496814,-122.2589283,52.38322830200195
2013-14,1,61259,6002117,Oakland Unified,Piedmont Avenue Elementary,,,K,5,381,283,0.742782152,K to 5,Piedmont Avenue Elementary,4314 Piedmont Ave.,Oakland,94611-4716,(510)_654-7377,"4314 Piedmont Avenue, Oakland, CA 94611, USA",37.8288057,-122.2485874,42.05488967895508,"4314 Piedmont Avenue, Oakland, CA 94611, USA",37.8288057,-122.2485874,42.05488967895508
2013-14,1,61259,6002125,Oakland Unified,Preparatory Literary Academy of Cultural Excellence,,,K,5,216,197,0.912037037,K to 5,Preparatory Literary Academy of Cultural Excellence,920 Campbell St.,Oakland,94607-1320,(510)_874-3333,"920 Campbell Street, Oakland, CA 94607, USA",37.8085163,-122.2978647,5.831889152526855,"920 Campbell Street, Oakland, CA 94607, USA",37.8085163,-122.2978647,5.831889152526855
2013-14,1,61259,118653,Oakland Unified,Ralph J. Bunche High,,,9,12,118,104,0.881355932,9 to 12,Ralph J. Bunche High,1240 18th St.,Oakland,94607-2223,(510)_874-3300,"1240 18th Street, Oakland, CA 94607, USA",37.81331,-122.287037,4.34503698348999,"1240 18th Street, Oakland, CA 94607, USA",37.81331,-122.287037,4.34503698348999
2013-14,1,61259,110239,Oakland Unified,Reach Academy,,,K,5,382,350,0.916230366,K to 5,Reach Academy,9860 Sunnyside St.,Oakland,94603,(510)_729-7775,"9860 Sunnyside Street, Oakland, CA 94603, USA",37.7464704,-122.1614182,12.17992877960205,"9860 Sunnyside Street, Oakland, CA 94603, USA",37.7464704,-122.1614182,12.17992877960205
2013-14,1,61259,6002141,Oakland Unified,Redwood Heights Elementary,,,K,5,364,90,0.247252747,K to 5,Redwood Heights Elementary,4401 39th Ave.,Oakland,94619-1614,(510)_531-6644,"4401 39th Avenue, Oakland, CA 94619, USA",37.7974594,-122.1861713,134.4684753417969,"4401 39th Avenue, Oakland, CA 94619, USA",37.7974594,-122.1861713,134.4684753417969
2013-14,1,61259,6117394,Oakland Unified,Reems (Ernestine C.) Academy of Technology and Art,218,Directly funded,K,8,223,222,0.995515695,K to 8,Reems (Ernestine C.) Academy of Technology and Art,8425 MacArthur Blvd.,Oakland,94605-3553,(510)_729-6635,"8425 MacArthur Boulevard, Oakland, CA 94605, USA",37.7609904,-122.1640666,23.85017395019531,"8425 MacArthur Boulevard, Oakland, CA 94605, USA",37.7609904,-122.1640666,23.85017395019531
2013-14,1,61259,110262,Oakland Unified,Rise Community,,,K,5,304,300,0.986842105,K to 5,Rise Community,8521 A St.,Oakland,94621,(510)_729-7732,"8521 A Street, Oakland, CA 94621, USA",37.75163730000001,-122.1797196,8.021783828735352,"8521 A Street, Oakland, CA 94621, USA",37.75163730000001,-122.1797196,8.021783828735352
2013-14,1,61259,6057087,Oakland Unified,Roosevelt Middle,,,6,8,574,553,0.963414634,6 to 8,Roosevelt Middle,1926 19th Ave.,Oakland,94606-4170,(510)_535-2877,"1926 19th Avenue, Oakland, CA 94606, USA",37.7897817,-122.2373363,35.01054763793945,"1926 19th Avenue, Oakland, CA 94606, USA",37.7897817,-122.2373363,35.01054763793945
2013-14,1,61259,112805,Oakland Unified,ROOTS International Academy,,,6,8,349,336,0.962750716,6 to 8,ROOTS International Academy,1390 66th Ave.,Oakland,94621-3506,(510)_639-3226,"1390 66th Avenue, Oakland, CA 94621, USA",37.7619967,-122.1934685,7.164653778076172,"1390 66th Avenue, Oakland, CA 94621, USA",37.7619967,-122.1934685,7.164653778076172
2013-14,1,61259,130146,Oakland Unified,Rudsdale Continuation,,,9,12,149,98,0.657718121,9 to 12,Rudsdale Continuation,8251 Fontaine St.,Oakland,94605,(510)_636-7992,"8251 Fontaine Street, Oakland, CA 94605, USA",37.7662439,-122.1542523,102.6795501708984,"8251 Fontaine Street, Oakland, CA 94605, USA",37.7662439,-122.1542523,102.6795501708984
2013-14,1,61259,110254,Oakland Unified,Sankofa Academy,,,P,8,328,290,0.884146341,P to 8,Sankofa Academy,581 61st St.,Oakland,94609,(510)_654-7787,"581 61st Street, Oakland, CA 94609, USA",37.84695019999999,-122.2646297,40.02755737304688,"581 61st Street, Oakland, CA 94609, USA",37.84695019999999,-122.2646297,40.02755737304688
2013-14,1,61259,6002174,Oakland Unified,Sequoia Elementary,,,K,5,445,216,0.485393258,K to 5,Sequoia Elementary,3730 Lincoln Ave.,Oakland,94602-2468,(510)_531-6696,"3730 Lincoln Avenue, Oakland, CA 94602, USA",37.8024159,-122.2109638,83.9169921875,"3730 Lincoln Avenue, Oakland, CA 94602, USA",37.8024159,-122.2109638,83.9169921875
2013-14,1,61259,137943,Oakland Unified,Skyline High,,,9,12,1781,"1,337",0.750701853,9 to 12,Skyline High,12250 Skyline Blvd.,Oakland,94619-2425,(510)_482-7109,"12250 Skyline Boulevard, Oakland, CA 94619, USA",37.7978197,-122.1639333,334.56298828125,"12250 Skyline Boulevard, Oakland, CA 94619, USA",37.7978197,-122.1639333,334.56298828125
2013-14,1,61259,130179,Oakland Unified,Street Academy (Alternative),,,9,12,88,66,0.75,9 to 12,Street Academy (Alternative),417 29th St.,Oakland,94609-3510,(510)_874-3630,"417 29th Street, Oakland, CA 94609, USA",37.8176007,-122.2654307,21.08742141723633,"417 29th Street, Oakland, CA 94609, USA",37.8176007,-122.2654307,21.08742141723633
2013-14,1,61259,100792,Oakland Unified,Think College Now,,,K,5,305,274,0.898360656,K to 5,Think College Now,2825 International Blvd.,Oakland,94601,(510)_532-5500,"2825 International Boulevard, Oakland, CA 94601, USA",37.7793766,-122.230619,12.54784965515137,"2825 International Boulevard, Oakland, CA 94601, USA",37.7793766,-122.230619,12.54784965515137
2013-14,1,61259,6002216,Oakland Unified,Thornhill Elementary,,,K,5,386,39,0.101036269,K to 5,Thornhill Elementary,5880 Thornhill Dr.,Oakland,94611-2147,(510)_339-6800,"5880 Thornhill Drive, Oakland, CA 94611, USA",37.8361648,-122.2115974,182.7935638427734,"5880 Thornhill Drive, Oakland, CA 94611, USA",37.8361648,-122.2115974,182.7935638427734
2013-14,1,61259,112763,Oakland Unified,United for Success Academy,,,6,8,436,417,0.956422018,6 to 8,United for Success Academy,2101 35th Ave.,Oakland,94601-3124,(510)_535-3880,"2101 35th Avenue, Oakland, CA 94601, USA",37.78480140000001,-122.2169083,26.8600959777832,"2101 35th Avenue, Oakland, CA 94601, USA",37.78480140000001,-122.2169083,26.8600959777832
2013-14,1,61259,6118657,Oakland Unified,Urban Promise Academy,,,6,8,324,316,0.975308642,6 to 8,Urban Promise Academy,3031 East 18th St.,Oakland,94601,(510)_436-3636,"3031 East 18th Street, Oakland, CA 94601, USA",37.7819549,-122.22422,20.02969169616699,"3031 East 18th Street, Oakland, CA 94601, USA",37.7819549,-122.22422,20.02969169616699
2013-14,1,61259,123711,Oakland Unified,Vincent Academy,1271,Directly funded,K,5,134,113,0.843283582,K to 5,Vincent Academy,1911 Union St.,Oakland,94607,(510)_452-2100,"1911 Union Street, Oakland, CA 94607, USA",37.8142568,-122.2869512,3.534766674041748,"1911 Union Street, Oakland, CA 94607, USA",37.8142568,-122.2869512,3.534766674041748
2013-14,1,61259,115626,Oakland Unified,West Oakland Middle,,,6,8,214,189,0.88317757,6 to 8,West Oakland Middle,991 14th St.,Oakland,94607-3230,(510)_874-6788,"991 14th Street, Oakland, CA 94607, USA",37.8087468,-122.2825981,7.41025447845459,"991 14th Street, Oakland, CA 94607, USA",37.8087468,-122.2825981,7.41025447845459
2013-14,1,61259,6057095,Oakland Unified,Westlake Middle,,,6,8,571,521,0.912434326,6 to 8,Westlake Middle,2629 Harrison St.,Oakland,94612-3813,(510)_879-2130,"2629 Harrison Street, Oakland, CA 94612, USA",37.81410839999999,-122.2603786,6.795806884765625,"2629 Harrison Street, Oakland, CA 94612, USA",37.81410839999999,-122.2603786,6.795806884765625
2013-14,1,61259,109983,Oakland Unified,World Academy,745,Directly funded,K,5,475,465,0.978947368,K to 5,World Academy,1700 28th Ave.,Oakland,94601-2455,(510)_904-6400,"1700 28th Avenue, Oakland, CA 94601, USA",37.782342,-122.226161,19.5949535369873,"1700 28th Avenue, Oakland, CA 94601, USA",37.782342,-122.226161,19.5949535369873
2013-14,1,61259,121228,Oakland Unified,Young Adult Program,,,Adult,Adult,4,1,0.25,Adult to Adult,Young Adult Program,2850 West St.,Oakland,94608-4536,(510)_879-2715,"2850 West Street, Oakland, CA 94608, USA",37.81851,-122.273017,9.92009449005127,"2850 West Street, Oakland, CA 94608, USA",37.81851,-122.273017,9.92009449005127
